id, status, time, table_tree / queries, runner up, table sz/cnt, stage_1, stage_2, stage_3, stage_4
001.log, succeed, 00:14:07:679, 17 / 2976, 10, 21000 / 98, 6 / 36, 9 / 35, 286 / 2286, 21175 / 217169
002.log, memory exceed, ---, ---, ---, 51000 / 620, 3 / 91, 21 / 48, 538 / 2614, ---
003.log, fail to find, 00:01:31:747, 0 / 0, 0, 2000 / 518, 1 / 59, 3 / 3, 41 / 383, 2285 / 35950
004.log, succeed, 00:07:00:89, 1027 / 3289014, 198, 9000 / 71, 3 / 36, 5 / 5, 157 / 766, 9099 / 102999
005.log, succeed, 00:00:08:110, 6 / 1956, 2, - / -, 1 / 4, 2 / 2, 21 / 59, 497 / 2781
006.log, fail to find, 02:44:51:885, 0 / 0, 0, 42000 / 400, 1 / 59, 39 / 431, 672 / 6669, 42318 / 706495
007.log, succeed, 00:00:16:643, 4 / 1256400, 3, - / -, 3 / 406, 0 / 0, 14 / 576, 177 / 12112
008.log, memory exceed, ---, ---, ---, 113000 / 216, 4 / 536, 131 / 1212, 2515 / 70735, ---
009.log, memory exceed, ---, ---, ---, 42000 / 670, 3 / 36, 9 / 30, 327 / 1575, ---
011.log, memory exceed, ---, ---, ---, 64000 / 501, 1 / 406, 18 / 43, 418 / 4765, ---
013.log, succeed, 00:02:52:77, 42 / 44292484, 7, - / -, 3 / 141, 3 / 3, 27 / 5010, 224 / 131172
014.log, memory exceed, ---, ---, ---, 103000 / 181, 7 / 1279, 23 / 4541, 892 / 83947, ---
015.log, fail to find, 00:00:17:426, 0 / 0, 0, 1000 / 280, 1 / 1, 0 / 0, 18 / 36, 1203 / 3114
016.log, memory exceed, ---, ---, ---, 18000 / 174, 1 / 4, 37 / 121, 721 / 1789, ---
018.log, succeed, 14:54:57:824, 2409 / 237480800, 45, 10000 / 60, 7 / 17347, 4 / 4, 172 / 100538, 10036 / 8975952
019.log, succeed, 01:11:07:55, 1 / 1, 125, 37000 / 135, 4 / 23, 21 / 196, 526 / 3785, 37077 / 392778
020.log, memory exceed, ---, ---, ---, 11000 / 129, 14 / 4344, 14 / 954, 1004 / 210808, ---
021.log, succeed, 00:04:52:800, 62 / 494546543, 11, - / -, 3 / 1279, 0 / 0, 12 / 12858, 85 / 257502
022.log, memory exceed, ---, ---, ---, 31000 / 1098, 3 / 469, 183 / 6116, 3773 / 102666, ---
023.log, succeed, 00:02:05:851, 4 / 15, 9, 5000 / 179, 2 / 46, 26 / 64, 141 / 1140, 5627 / 43959
024.log, succeed, 00:29:24:626, 733 / 118146, 82, 27000 / 142, 4 / 36, 5 / 14, 237 / 1176, 27741 / 172411
025.log, fail to find, 00:15:01:631, 0 / 0, 0, 16000 / 243, 2 / 1, 3 / 4, 149 / 300, 16041 / 49338
026.log, memory exceed, ---, ---, ---, 26000 / 67, 10 / 171, 15 / 296, 388 / 3258, 26902 / 276361
027.log, succeed, 00:00:17:953, 11 / 8627065, 11, - / -, 2 / 441, 0 / 0, 4 / 2058, 12 / 18915
029.log, succeed, 00:01:08:274, 22 / 109522, 8, - / -, 1 / 406, 1 / 1, 21 / 1083, 428 / 73200
030.log, memory exceed, ---, ---, ---, 46000 / 599, 13 / 35096, 22 / 34, 2571 / 661757, ---
031.log, memory exceed, ---, ---, ---, 17000 / 85, 9 / 10312, 210 / 69813, 17487 / 2423835, ---
032.log, memory exceed, ---, ---, ---, 23000 / 180, 6 / 6, 58 / 622, 995 / 3060, ---
033.log, succeed, 00:01:25:494, 254 / 6834, 144, 4000 / 75, 6 / 6, 19 / 206, 188 / 404, 4055 / 13636
034.log, succeed, 01:49:48:963, 1325 / 458474, 552, 38000 / 191, 3 / 214, 50 / 1432, 666 / 7460, 38136 / 610736
035.log, succeed, 00:01:02:880, 44 / 682, 27, 1000 / 315, 1 / 1, 6 / 9, 61 / 140, 1561 / 4979
036.log, succeed, 00:00:07:694, 4 / 4, 1, - / -, 1 / 1, 3 / 3, 29 / 32, 660 / 1591
037.log, succeed, 00:00:09:832, 3 / 2448, 2, - / -, 1 / 6, 4 / 37, 27 / 126, 376 / 2319
038.log, succeed, 00:00:42:226, 22 / 1082, 9, 2000 / 199, 1 / 1, 5 / 5, 55 / 115, 2502 / 9183
