[q1/q2/q3/q4 indicates how many symbolic tables are built in each enumeration stage.]

[concrete/bitvec is the reduction rate between the number of different primitive 
	 filters syntax forms and the number of bitvectors generated by these filters.]
(Prmitive filters are filters without conjunction,)

[compound/bitvec is the reduction rate between the number of different combinations 
	of compound filters and the number of their bitvec representation.]
(These compound filters are filters in a compound symbolic table, the combination is created by:
	 taking 1 from the left sub-table, 1 from the right sub-table, and 1 form the canonical filters for this table, 
	each of these three filters can be conjunction filters at most length 2.)

(In some cases there are NaN or Inf, this is because the pipeline has already figured out 
	 an early pruning can already be applied (e.g. exists some value that the pipeline cannot compute as it require arithmetic expression) so that there is no need to go and enumerate all filters.)
id       status        time        runner up    q1    q2    q3    q4  concrete/bitvec      compound/bitvec    max_compound_to_visit
-------  ------------  --------  -----------  ----  ----  ----  ----  -----------------  -----------------  -----------------------
001.log  succeed       00:00:13            8     1    13    26    -1  4.540                         13.31                      9152
002.log  succeed       00:00:44           20     1    19    38    -1  4.415                          3.461                     1840
003.log  fail to find  00:00:12            0     1     4     8    -1  5.266                          2.5                        104
004.log  succeed       00:00:22           18     1     6    12    -1  3.449                          3.361                     1280
005.log  succeed       00:00:04            1     1     3     6    -1  3.240                          2.666                       56
006.log  fail to find  00:00:05            0     1    52   104    -1  Infin                        nan                            0
007.log  succeed       00:00:06            3     1     1     2    -1  13.5                           4.923                      128
008.log  succeed       00:01:16            4     1   128   256    -1  6.632                          6.181                     2650
009.log  fail to find  00:01:17            0     1    11    22    -1  5.289                          6.956                     1760
011.log  succeed       00:01:08            4     1    19    38    -1  5.694                          2.596                      616
013.log  succeed       00:00:02            7     1     4     8    -1  17.18                          4.784                      144
014.log  succeed       00:00:40          340     1    63   126    -1  4.547                          4.216                     3920
015.log  fail to find  00:00:03            0     1     1     2    -1  Infin                        nan                            0
016.log  fail to find  00:00:06            0     1    47    94    -1  Infin                        nan                            0
018.log  succeed       00:01:07           11     1     5    10    -1  206.6                          4.21                      1280
019.log  succeed       00:00:21           20     1    31    62    -1  3.206                          1.877                     1470
020.log  succeed       00:00:10            1     2    20    60    -1  131.1                          2.666                       32
021.log  succeed       00:00:17            5     1     1     2    -1  264.6                          9.142                      128
022.log  succeed       00:02:07           98     1   677  1354    -1  6.281                          6.835                     1840
023.log  succeed       00:00:19           30     1    65   130    -1  5.380                          2.222                       24
024.log  succeed       00:00:50           12     2     6    18    -1  3.584                          3.733                     1552
025.log  fail to find  00:00:22            0     2     6    18    -1  3.299                          1                           22
026.log  succeed       00:00:59          222     1    23    46    -1  5.381                         18.61                     25350
027.log  succeed       00:00:07            5     2     2     6    -1  31.0                           4                            8
029.log  succeed       00:00:09            1     1     2     4    -1  13.93                          3                           84
030.log  succeed       00:01:25           95     1   111   222    -1  9.644                          1.949                    70304
031.log  succeed       00:00:35            2     1    34    68    -1  3.432                          2.058                      116
032.log  succeed       00:00:34           10     1    45    90    -1  3.936                          8.235                     3456
033.log  succeed       00:00:31           77     1    21    42    -1  4.207                          8.968                     2752
034.log  succeed       00:01:11          285     1    73   146    -1  5.152                          6.208                      800
035.log  succeed       00:00:09            2     1     5    10    -1  3.187                          1.416                      112
036.log  succeed       00:00:05            2     1     4     8    -1  5.0                            1                           11
037.log  succeed       00:00:15            1     1     3     6    -1  4.791                          3.254                       64
038.log  succeed       00:00:04            4     1     6    12    -1  3.030                          1                           27
039.log  fail to find  00:00:06            0     1    10    20    -1  15.12                          4                           32
040.log  succeed       00:00:09            2     1    14    28    -1  8.451                          3                           84
041.log  succeed       00:00:12            1     1     6    12    -1  5.083                          2.555                      180
042.log  fail to find  00:00:03            0     2     3     9    -1  Infin                        nan                            0
043.log  succeed       00:01:40          562     1   181   362    -1  5.507                         14.64                    361472
044.log  succeed       00:00:45            1     1    11    22    -1  5.746                          2.909                      392
045.log  fail to find  00:00:18            0     1    16    32    -1  4.234                          5.948                      896
046.log  succeed       00:00:08            2     2     8    24    -1  4.666                          1.333                       16
047.log  succeed       00:00:55           13     1    14    28    -1  6.584                          4.598                     3232
048.log  fail to find  00:00:03            0     2   113   339    -1  5.241                          2.962                      400
049.log  succeed       00:00:06            3     1     7    14    -1  5.5                            1.828                       64
050.log  fail to find  00:01:13            0     1    61   122    -1  6.531                          3.223                     3200
051.log  succeed       00:00:35           32     1    33    66    -1  5.308                          9.172                     3087
052.log  fail to find  00:00:03            0     1    27    54    -1  16.25                          2                           20
053.log  fail to find  00:00:41            0     1    11    22    -1  8.847                          3.454                      332
054.log  succeed       00:01:01            3     2    16    48    -1  229.8                          3.076                       24
055.log  succeed       00:00:35           80     1    29    58    -1  7.578                          7.473                     2240
056.log  succeed       00:00:34            3     1    22    44    -1  5.652                          3.366                      600
057.log  succeed       00:00:26            6     1     8    16    -1  4.362                          1.375                       28
058.log  succeed       00:00:20            4     1     8    16    -1  4.675                          2.862                      112
061.log  succeed       00:00:36            1     1   638  1276    -1  20.90                          9.797                    16940
063.log  fail to find  00:00:00            0     1     1     2    -1  Infin                        nan                            0
