id, status, time, runner up
027.log, succeed, 00:00:00:269, 5
020.log, succeed, 00:00:04:116, 8
052.log, succeed, 00:00:20:800, 2
055.log, succeed, 00:00:12:669, 170
029.log, succeed, 00:00:02:391, 10
015.log, fail to find, 00:00:02:229, 0
003.log, fail to find, 00:00:07:45, 0
004.log, succeed, 00:00:04:329, 299
044.log, succeed, 00:01:35:11, 18
038.log, succeed, 00:00:02:406, 13
043.log, memory exceed, ---, ---
031.log, memory exceed, ---, ---
036.log, succeed, 00:00:00:695, 1
013.log, succeed, 00:00:03:436, 13
014.log, succeed, 01:01:34:220, 2760
061.log, memory exceed, ---, ---
054.log, fail to find, 00:00:00:514, 0
053.log, succeed, 00:08:54:651, 2
021.log, succeed, 00:00:03:147, 17
026.log, succeed, 00:00:29:214, 770
037.log, succeed, 00:00:01:574, 4
030.log, memory exceed, ---, ---
042.log, fail to find, 00:00:00:537, 0
045.log, fail to find, 00:00:03:305, 0
039.log, succeed, 00:00:06:643, 2
005.log, succeed, 00:00:01:358, 4
002.log, succeed, 01:00:26:157, 123
033.log, succeed, 00:00:02:690, 289
048.log, fail to find, 00:00:07:972, 0
034.log, succeed, 00:00:45:588, 1909
046.log, succeed, 00:00:00:425, 8
041.log, succeed, 00:00:05:207, 40
008.log, succeed, 00:03:49:820, 12
001.log, succeed, 00:00:14:38, 16
006.log, fail to find, 00:01:49:680, 0
019.log, succeed, 00:01:49:716, 205
050.log, fail to find, 00:02:12:448, 0
057.log, succeed, 00:00:05:915, 3
025.log, fail to find, 00:00:04:509, 0
022.log, succeed, 13:29:02:855, 3020
007.log, succeed, 00:00:01:346, 5
009.log, fail to find, 00:08:44:217, 0
040.log, succeed, 00:00:08:278, 26
047.log, succeed, 00:15:23:91, 690
049.log, succeed, 00:00:02:236, 15
035.log, succeed, 00:00:02:994, 34
032.log, succeed, 00:00:41:821, 9
023.log, succeed, 00:00:06:350, 112
058.log, fail to find, 00:00:04:994, 0
024.log, succeed, 00:00:24:989, 136
056.log, succeed, 00:01:12:231, 18
051.log, succeed, 00:00:24:780, 55
018.log, succeed, 00:00:21:702, 61
063.log, fail to find, 00:00:00:432, 0
011.log, succeed, 00:09:07:92, 134
016.log, fail to find, 00:03:12:584, 0
