id, status, time, table_tree / queries, runner up, table sz/cnt, stage_1, stage_2, stage_3, stage_4
008.log, succeed, 01:22:38:648, 24 / 554460, 4, 192000 / 233, 4 / 536, 135 / 1212, 2650 / 70735, 192660 / 9038420
001.log, succeed, 00:00:36:135, 17 / 2976, 10, 21000 / 98, 6 / 36, 15 / 35, 301 / 2286, 21190 / 217169
006.log, fail to find, 00:10:40:324, 0 / 0, 0, 42000 / 400, 1 / 59, 40 / 431, 712 / 6669, 42358 / 706495
033.log, succeed, 00:00:48:316, 254 / 6890, 144, 4000 / 75, 6 / 6, 25 / 206, 213 / 404, 4080 / 13636
034.log, succeed, 01:08:51:747, 1325 / 458474, 552, 38000 / 191, 3 / 214, 53 / 1432, 719 / 7460, 38189 / 610736
048.log, memory exceed, ---, ---, ---, 401000 / 199, 7 / 406, 95 / 589, 3754 / 45723, ---
046.log, succeed, 00:01:00:839, 28 / 3000, 14, 12000 / 187, 2 / 36, 8 / 11, 167 / 907, 12185 / 138288
041.log, succeed, 00:00:33:565, 33 / 37517, 22, 4000 / 209, 1 / 36, 6 / 10, 80 / 495, 4964 / 52287
050.log, fail to find, 00:09:37:67, 0 / 0, 0, 11000 / 938, 1 / 36, 11 / 30, 152 / 1133, 11735 / 103005
057.log, succeed, 00:00:27:547, 157 / 148959, 26, 3000 / 331, 1 / 1, 7 / 22, 102 / 254, 3458 / 14868
025.log, fail to find, 00:00:38:188, 0 / 0, 0, 16000 / 243, 2 / 1, 5 / 4, 154 / 300, 16046 / 49338
022.log, memory exceed, ---, ---, ---, 94000 / 1261, 3 / 469, 186 / 6116, 3959 / 102666, ---
019.log, succeed, 00:03:51:62, 1 / 1, 125, 37000 / 135, 4 / 23, 25 / 196, 551 / 3785, 37102 / 392778
040.log, succeed, 00:02:23:917, 26 / 51644, 22, 2000 / 129, 1 / 406, 13 / 43, 102 / 4728, 2206 / 294672
047.log, succeed, 00:34:05:837, 773 / 2395628, 185, 159000 / 233, 3 / 406, 14 / 148, 747 / 9374, 159997 / 2641752
035.log, succeed, 00:00:14:588, 44 / 682, 27, 1000 / 315, 1 / 1, 7 / 9, 68 / 140, 1568 / 4979
049.log, succeed, 00:00:07:765, 7 / 17, 4, 4000 / 121, 2 / 4, 7 / 6, 100 / 161, 4332 / 12552
032.log, succeed, 00:01:27:64, 91 / 4694, 16, 39000 / 201, 6 / 6, 64 / 622, 1059 / 3060, 39444 / 186872
007.log, succeed, 00:00:08:703, 4 / 1256400, 3, - / -, 3 / 406, 3 / 0, 17 / 576, 180 / 12112
009.log, fail to find, 00:05:08:761, 0 / 0, 0, 43000 / 683, 3 / 36, 12 / 30, 339 / 1575, 43465 / 236379
018.log, succeed, 09:45:47:780, 2409 / 237480800, 45, 10000 / 60, 7 / 17347, 11 / 4, 183 / 100538, 10047 / 8975952
063.log, fail to find, 00:00:02:7, 0 / 0, 0, - / -, 1 / 36, 1 / 0, 7 / 192, 48 / 5136
011.log, succeed, 02:12:07:92, 203 / 1174919, 68, 98000 / 523, 1 / 406, 19 / 43, 437 / 4765, 98228 / 1400452
016.log, fail to find, 00:01:43:766, 0 / 0, 0, 80000 / 196, 1 / 4, 38 / 121, 759 / 1789, 80819 / 221895
023.log, succeed, 00:00:15:435, 4 / 15, 9, 5000 / 179, 2 / 46, 28 / 64, 169 / 1140, 5655 / 43959
024.log, succeed, 00:02:19:991, 733 / 118146, 82, 27000 / 142, 4 / 36, 9 / 14, 246 / 1176, 27750 / 172411
058.log, fail to find, 00:00:17:881, 0 / 0, 0, 3000 / 316, 1 / 1, 6 / 10, 101 / 182, 3392 / 13644
056.log, succeed, 00:11:45:30, 16 / 4516, 10, 32000 / 469, 1 / 36, 28 / 201, 526 / 5756, 32048 / 471191
051.log, succeed, 00:06:28:558, 289 / 850809, 42, 18000 / 146, 6 / 171, 35 / 492, 444 / 4475, 18443 / 294793
